"","deploymentID","cluster_id","round","week","habitat","cluster","treatment","date","sequenceID","commonName","Snow.cover","Camouflage.mismatch","Interaction_with_lure","deploy_date","interaction","delta_date","n","diff","diff_days","cam_effort","mammal"
"1","R1-W09CC1B","R1-W09CC1","R1","W09","C","C1","B","2022-03-04","db5efec939738e18b5fcfdb97a9899db","Red Fox",100,"Mismatch","False","2022-03-02",0,2,1,NA,2,20,1
"2","R1-W09CC1B","R1-W09CC1","R1","W09","C","C1","B","2022-03-15","91811a2d8edbb63554de75ba5e3f7f57","Domestic Cat",100,"Mismatch","False","2022-03-02",0,13,1,11,11,20,1
"3","R1-W09CC1B","R1-W09CC1","R1","W09","C","C1","B","2022-03-15","b0c4be2478201c96126276fc0199b2a7","Red Fox",100,"Mismatch","False","2022-03-02",0,13,1,0,0,20,1
"4","R1-W09CC1B","R1-W09CC1","R1","W09","C","C1","B","2022-03-19","174f9b2bbc60b0310a41a330e4b98d8a","Domestic Cat",100,"Mismatch","False","2022-03-02",0,17,1,4,4,20,1
"5","R1-W09CC1C","R1-W09CC1","R1","W09","C","C1","C","2022-03-05","fae4175c383bbcb99b035edda2cf80ea","Red Fox",100,"","False","2022-03-02",0,3,1,NA,3,20,1
"6","R1-W09CC1W","R1-W09CC1","R1","W09","C","C1","W","2022-03-06","55ea58c85e25138691fb3bd127ad1470","Domestic Cat",100,"Match","False","2022-03-02",0,4,1,NA,4,20,1
"7","R1-W09CC1W","R1-W09CC1","R1","W09","C","C1","W","2022-03-21","0adba0ed1882a1e7db747071032c6845","European Badger",100,"Match","False","2022-03-02",0,19,1,15,15,20,1
"8","R1-W09CC2B","R1-W09CC2","R1","W09","C","C2","B","2022-03-09","0074e4acb17dcae4d5bdcd212829a1d2","Domestic Dog",100,"Mismatch","False","2022-03-03",0,6,1,NA,6,19,1
"9","R1-W09CC2B","R1-W09CC2","R1","W09","C","C2","B","2022-03-09","0074e4acb17dcae4d5bdcd212829a1d2","Domestic Dog",100,"Mismatch","True","2022-03-03",1,6,1,0,0,19,1
"10","R1-W09CC2B","R1-W09CC2","R1","W09","C","C2","B","2022-03-16","40143fb7c3df4f2e65fa4b1f62877fe7","Domestic Dog",100,"Mismatch","False","2022-03-03",0,13,1,7,7,19,1
"11","R1-W09CC2C","R1-W09CC2","R1","W09","C","C2","C","2022-03-10","21c13d6090af474cb5ea302b6c9645e7","Domestic Dog",100,"","False","2022-03-03",0,7,1,NA,7,19,1
"12","R1-W09CC2C","R1-W09CC2","R1","W09","C","C2","C","2022-03-11","ee7407a2ab4ab434b8bb7c4cf1627dae","Domestic Dog",100,"","False","2022-03-03",0,8,1,1,1,19,1
"13","R1-W09CC2C","R1-W09CC2","R1","W09","C","C2","C","2022-03-13","8c106449ce1420bbe8a019a14c9c9950","Domestic Dog",100,"","False","2022-03-03",0,10,1,2,2,19,1
"14","R1-W09CC2C","R1-W09CC2","R1","W09","C","C2","C","2022-03-14","0b4a6d90958228a7e2dff0fa92e8cf4e","Domestic Dog",100,"","False","2022-03-03",0,11,1,1,1,19,1
"15","R1-W09CC2C","R1-W09CC2","R1","W09","C","C2","C","2022-03-14","5dca9f7910762226e064848a75b89c9c","Domestic Dog",100,"","False","2022-03-03",0,11,2,0,0,19,1
"16","R1-W09CC2C","R1-W09CC2","R1","W09","C","C2","C","2022-03-14","a6be689a0dc4d0049acf2e1b8263a6ee","Domestic Dog",100,"","False","2022-03-03",0,11,1,0,0,19,1
"17","R1-W09CC2C","R1-W09CC2","R1","W09","C","C2","C","2022-03-15","cbecc1e704133aaa4f761c2ab178bd00","Domestic Dog",100,"","False","2022-03-03",0,12,1,1,1,19,1
"18","R1-W09CC2C","R1-W09CC2","R1","W09","C","C2","C","2022-03-16","6b1925841fa6e253f5d83f0a85e18d0c","Domestic Dog",100,"","False","2022-03-03",0,13,1,1,1,19,1
"19","R1-W09CC2C","R1-W09CC2","R1","W09","C","C2","C","2022-03-17","66db3809a327ddab0b1f5e374a64e0ea","Domestic Dog",100,"","False","2022-03-03",0,14,1,1,1,19,1
"20","R1-W09CC2C","R1-W09CC2","R1","W09","C","C2","C","2022-03-17","ad6a620d4405d2b3b6965b945d20895a","Domestic Dog",100,"","False","2022-03-03",0,14,1,0,0,19,1
