"","deploymentID","cluster_id","round","week","habitat","cluster","treatment","date.x","sequenceID","commonName","Snow.cover","Interaction_with_lure","interaction","delta_date","n","diff","diff_days","cam_effort","mammal","event","X","deploy_date","date.y","tot_time","down_time","Camouflage.mismatch","cxh"
"1","R1-W09CC1B","R1-W09CC1","R1","W09","C","C1","B","2022-03-04","db5efec939738e18b5fcfdb97a9899db","Red Fox",100,"False",0,2,1,NA,2,20,1,1,1,"2022-03-02","2022-03-22",20,0,"Mismatch","Mismatch C"
"2","R1-W09CC1B","R1-W09CC1","R1","W09","C","C1","B","2022-03-15","91811a2d8edbb63554de75ba5e3f7f57","Domestic Cat",100,"False",0,13,1,11,11,20,1,1,1,"2022-03-02","2022-03-22",20,0,"Mismatch","Mismatch C"
"3","R1-W09CC1B","R1-W09CC1","R1","W09","C","C1","B","2022-03-15","b0c4be2478201c96126276fc0199b2a7","Red Fox",100,"False",0,13,1,0,0,20,1,1,1,"2022-03-02","2022-03-22",20,0,"Mismatch","Mismatch C"
"4","R1-W09CC1B","R1-W09CC1","R1","W09","C","C1","B","2022-03-19","174f9b2bbc60b0310a41a330e4b98d8a","Domestic Cat",100,"False",0,17,1,4,4,20,1,1,1,"2022-03-02","2022-03-22",20,0,"Mismatch","Mismatch C"
"5","R1-W09CC1W","R1-W09CC1","R1","W09","C","C1","W","2022-03-06","55ea58c85e25138691fb3bd127ad1470","Domestic Cat",100,"False",0,4,1,NA,4,20,1,1,3,"2022-03-02","2022-03-22",20,0,"Match","Match C"
"6","R1-W09CC1W","R1-W09CC1","R1","W09","C","C1","W","2022-03-21","0adba0ed1882a1e7db747071032c6845","European Badger",100,"False",0,19,1,15,15,20,1,1,3,"2022-03-02","2022-03-22",20,0,"Match","Match C"
"7","R1-W09CC2B","R1-W09CC2","R1","W09","C","C2","B","2022-03-09","0074e4acb17dcae4d5bdcd212829a1d2","Domestic Dog",100,"False",0,6,1,NA,6,19,1,1,4,"2022-03-03","2022-03-22",19,0,"Mismatch","Mismatch C"
"8","R1-W09CC2B","R1-W09CC2","R1","W09","C","C2","B","2022-03-09","0074e4acb17dcae4d5bdcd212829a1d2","Domestic Dog",100,"True",1,6,1,0,0,19,1,1,4,"2022-03-03","2022-03-22",19,0,"Mismatch","Mismatch C"
"9","R1-W09CC2B","R1-W09CC2","R1","W09","C","C2","B","2022-03-16","40143fb7c3df4f2e65fa4b1f62877fe7","Domestic Dog",100,"False",0,13,1,7,7,19,1,1,4,"2022-03-03","2022-03-22",19,0,"Mismatch","Mismatch C"
"10","R1-W09CC2W","R1-W09CC2","R1","W09","C","C2","W","2022-03-22","02a433f7c3b2446d7c196d52ffd9317b","Human",NA,"False",0,19,0,NA,19,19,0,1,6,"2022-03-03","2022-03-22",19,0,"Match","Match C"
"11","R1-W09CC3B","R1-W09CC3","R1","W09","C","C3","B","2022-03-04","c53f6edf7cf81009601ba98ce2e4a796","Domestic Dog",100,"False",0,1,1,NA,1,19,1,1,7,"2022-03-03","2022-03-22",19,0,"Mismatch","Mismatch C"
"12","R1-W09CC3B","R1-W09CC3","R1","W09","C","C3","B","2022-03-05","4c3bf181eab76e496f0606deef6d1d78","Red Fox",100,"False",0,2,1,1,1,19,1,1,7,"2022-03-03","2022-03-22",19,0,"Mismatch","Mismatch C"
"13","R1-W09CC3B","R1-W09CC3","R1","W09","C","C3","B","2022-03-20","4dc0739a71943e8d052055f58eebe3c3","European Badger",100,"False",0,17,1,15,15,19,1,1,7,"2022-03-03","2022-03-22",19,0,"Mismatch","Mismatch C"
"14","R1-W09CC3W","R1-W09CC3","R1","W09","C","C3","W","2022-03-20","9d03188c16111518915c0e6736f4b50a","Hooded Crow",100,"False",0,17,1,NA,17,19,0,1,9,"2022-03-03","2022-03-22",19,0,"Match","Match C"
"15","R1-W10OC1B","R1-W10OC1","R1","W10","O","C1","B","2022-03-21","3cd138300065e84185e3e68cd9ac52b0","Human",NA,"False",0,14,0,NA,14,12,0,1,10,"2022-03-07","2022-03-21",14,2,"Mismatch","Mismatch O"
"16","R1-W10OC1W","R1-W10OC1","R1","W10","O","C1","W","2022-03-21","e9a7b868b4cfe3036b6c925971387ad6","Human",NA,"False",0,14,0,NA,14,12,0,1,12,"2022-03-07","2022-03-21",14,2,"Match","Match O"
"17","R1-W10OC2B","R1-W10OC2","R1","W10","O","C2","B","2022-03-21","89e4616255c759236134df5704560b68","Human",NA,"False",0,14,0,NA,14,11,0,1,13,"2022-03-07","2022-03-21",14,3,"Mismatch","Mismatch O"
"18","R1-W10OC2W","R1-W10OC2","R1","W10","O","C2","W","2022-03-19","57a5c637a1b65c732d8ca94c119822e5","Hooded Crow",100,"False",0,12,1,NA,12,11,0,1,15,"2022-03-07","2022-03-21",14,3,"Match","Match O"
"19","R1-W10OC3B","R1-W10OC3","R1","W10","O","C3","B","2022-03-18","955a1b92498b7838a3f29b08a980939a","Red Fox",100,"True",1,11,1,NA,11,12,1,1,16,"2022-03-07","2022-03-21",14,2,"Mismatch","Mismatch O"
"20","R1-W10OC3W","R1-W10OC3","R1","W10","O","C3","W","2022-03-21","5a18f5065aa567ed73aec34ac9c20518","Human",NA,"False",0,14,0,NA,14,11,0,1,18,"2022-03-07","2022-03-21",14,3,"Match","Match O"
