"","deploymentID","habitat","treatment","interaction","diff_days","Camouflage.mismatch"
"1","R1-W09CC1B","C","B",0,20,"Mismatch"
"2","R1-W09CC1W","C","W",0,20,"Match"
"3","R1-W09CC2W","C","W",0,19,"Match"
"4","R1-W09CC3B","C","B",0,19,"Mismatch"
"5","R1-W09CC3W","C","W",0,19,"Match"
"6","R1-W10OC1B","O","B",0,14,"Mismatch"
"7","R1-W10OC1W","O","W",0,14,"Match"
"8","R1-W10OC2B","O","B",0,14,"Mismatch"
"9","R1-W10OC2W","O","W",0,14,"Match"
"10","R1-W10OC3W","O","W",0,14,"Match"
"11","R2-W12CC2W","C","W",0,14,"Match"
"12","R2-W12CC3B","C","B",0,14,"Mismatch"
"13","R2-W12OC1B","O","B",0,14,"Mismatch"
"14","R2-W12OC1W","O","W",0,14,"Match"
"15","R2-W12OC2B","O","B",0,14,"Mismatch"
"16","R2-W12OC2W","O","W",0,14,"Match"
"17","R2-W12OC3B","O","B",0,14,"Mismatch"
"18","R2-W12OC3W","O","W",0,14,"Match"
"19","R3-W14CC1B","C","B",0,15,"Mismatch"
"20","R3-W14CC1W","C","W",0,15,"Match"
"21","R3-W14CC2B","C","B",0,15,"Mismatch"
"22","R3-W14CC2W","C","W",0,15,"Match"
"23","R3-W14CC3W","C","W",0,15,"Match"
"24","R3-W14OC2B","O","B",0,15,"Mismatch"
"25","R3-W14OC2W","O","W",0,15,"Match"
"26","R3-W14OC3B","O","B",0,15,"Mismatch"
"27","R3-W14OC3W","O","W",0,15,"Match"
"28","R4-W16CC1B","C","B",0,13,"Match"
"29","R4-W16CC1W","C","W",0,13,"Mismatch"
"30","R4-W16CC2B","C","B",0,13,"Match"
"31","R4-W16CC2W","C","W",0,13,"Match"
"32","R4-W16CC3B","C","B",0,13,"Match"
"33","R4-W16CC3W","C","W",0,13,"Mismatch"
"34","R4-W16OC1B","O","B",0,13,"Match"
"35","R4-W16OC1W","O","W",0,13,"Mismatch"
"36","R4-W16OC2B","O","B",0,13,"Mismatch"
"37","R4-W16OC2W","O","W",0,13,"Mismatch"
"38","R4-W16OC3B","O","B",0,13,"Match"
"39","R4-W16OC3W","O","W",0,13,"Match"
"40","R5-W18CC1B","C","B",0,13,"Match"
"41","R5-W18CC1W","C","W",0,13,"Mismatch"
"42","R5-W18CC2B","C","B",0,13,"Match"
"43","R5-W18CC3B","C","B",0,13,"Match"
"44","R5-W18CC3W","C","W",0,13,"Mismatch"
"45","R1-W09CC2B","C","B",1,0,"Mismatch"
"46","R1-W10OC3B","O","B",1,11,"Mismatch"
"47","R2-W12CC1B","C","B",1,1,"Mismatch"
"48","R2-W12CC1W","C","W",1,4,"Match"
"49","R2-W12CC1W","C","W",1,4,"Match"
"50","R2-W12CC2B","C","B",1,0,"Mismatch"
"51","R2-W12CC3W","C","W",1,0,"Mismatch"
"52","R3-W14CC3B","C","B",1,0,"Mismatch"
"53","R3-W14CC3B","C","B",1,0,"Mismatch"
"54","R3-W14CC3B","C","B",1,0,"Mismatch"
"55","R3-W14CC3B","C","B",1,1,"Match"
"56","R3-W14OC1B","O","B",1,0,"Mismatch"
"57","R3-W14OC1W","O","W",1,2,"Match"
"58","R5-W18CC2W","C","W",1,4,"Mismatch"
"59","R5-W18CC2W","C","W",1,0,"Mismatch"
